Date,Meeting,Mayor,Bell,Bretherton,Christie,Cutforth,Deeming,Glen,Halse,Hermon,Innes,Martin,McLachlan,Morgan,Williamson
23 April 2014,Whangarei District Council,1,1,1,1,1,1,1,1,1,0,1,1,1,1
26 March 2014,Whangarei District Council,1,1,1,1,1,1,1,1,1,1,1,1,1,1
26 February 2014,Whangarei District Council,1,1,1,1,1,1,1,1,1,1,1,1,1,1
18 December 2013,Whangarei District Council,1,1,1,1,1,1,1,1,1,1,1,1,1,1
27 November 2013,Whangarei District Council,1,1,1,1,1,1,1,1,1,1,1,1,1,1
13 November 2013,Whangarei District Council,1,1,1,1,1,1,1,1,1,1,1,1,1,1
30 October 2013,Whangarei District Council,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
