X,Y,Society Name,Machines,Site Name,Full Addre,Site Addre,Town,Country,Territoria,addrtype,addrlocat
174.7300803,-37.248672,Lion Foundation,15,Kentish Hotel,5 Queen Street Waiuku,5 Queen Street,Waiuku,NZ,Franklin District,street_address,ROOFTOP
177.8637527,-38.4684173,Lion Foundation,0,Rangitira Tavern,Library Road Te Karaka,Library Road,Te Karaka,NZ,Gisborne District,route,GEOMETRIC_CENTER
176.5416181,-38.3843251,Lion Foundation,14,Ruatoria Hotel,145 Main Street Ruatoria,145 Main Street,Ruatoria,NZ,Gisborne District,route,GEOMETRIC_CENTER
178.0078662,-38.6599499,Lion Foundation,0,Sandown Park Hotel,Childers Road Gisborne,Childers Road,Gisborne,NZ,Gisborne District,route,GEOMETRIC_CENTER
178.0276995,-38.6674217,Lion Foundation,8,Scotty's Bar and Grill,33 Gladstone Road Gisborne,33 Gladstone Road,Gisborne,NZ,Gisborne District,street_address,ROOFTOP
171.213004,-42.4479456,Lion Foundation,18,Railway Hotel,Mawhera Quay Greymouth,Mawhera Quay,Greymouth,NZ,Grey District,route,GEOMETRIC_CENTER
175.2651051,-37.787962,Lion Foundation,12,Boots N All,165 Commerce Street Frankton,165 Commerce Street,Frankton,NZ,Hamilton City,street_address,ROOFTOP
175.2835262,-37.7881443,Lion Foundation,15,Boots 'N' All,287 Victoria Street Hamilton,287 Victoria Street,Hamilton,NZ,Hamilton City,street_address,ROOFTOP
175.2798426,-37.7867916,Lion Foundation,6,Duck N Pint,78 Ward Street Hamilton,78 Ward Street,Hamilton,NZ,Hamilton City,street_address,ROOFTOP
175.2816926,-37.7843609,Lion Foundation,12,Governors Tavern,2 Bryce Street Hamilton,2 Bryce Street,Hamilton,NZ,Hamilton City,street_address,ROOFTOP
175.3072044,-37.7872229,Lion Foundation,18,Hillcrest Tavern,Cnr Clyde and York Street Hamilton East,Cnr Clyde and York Street,Hamilton East,NZ,Hamilton City,route,GEOMETRIC_CENTER
175.2382827,-37.7508357,Lion Foundation,18,Te Rapa Tavern,Te Rapa Road Hamilton,Te Rapa Road,Hamilton,NZ,Hamilton City,route,GEOMETRIC_CENTER
175.2838318,-37.7903808,Lion Foundation,12,The Alamo Bar & Saloon,31 Alexandra Street Hamilton,31 Alexandra Street,Hamilton,NZ,Hamilton City,street_address,ROOFTOP
176.849245,-39.6475995,Lion Foundation,11,Billy's,Heretaunga Street Hastings,Heretaunga Street,Hastings,NZ,Hastings District,route,GEOMETRIC_CENTER
176.8438381,-39.6427446,Lion Foundation,0,Gorman's Bar,131 Heretaunga Street Hastings,131 Heretaunga Street,Hastings,NZ,Hastings District,street_address,ROOFTOP
175.2814854,-40.473607,Lion Foundation,0,Foxton Hotel,Main Street Foxton,Main Street,Foxton,NZ,Horowhenua District,route,GEOMETRIC_CENTER
175.2972423,-40.4754808,Lion Foundation,12,Manawatu Hotel,Avenue Road Foxton,Avenue Road,Foxton,NZ,Horowhenua District,route,GEOMETRIC_CENTER
174.9047463,-41.2174062,Lion Foundation,12,Bellvue Gardens Hotel,140 Woburn Road Lower Hutt,140 Woburn Road,Lower Hutt,NZ,Hutt City,street_address,ROOFTOP
174.8836152,-41.2269406,Lion Foundation,16,Empire Hotel,Jackson Street Petone,Jackson Street,Petone,NZ,Hutt City,route,GEOMETRIC_CENTER
174.8796421,-41.2256542,Lion Foundation,18,The Nags Head,266 Jackson Street Petone,266 Jackson Street,Petone,NZ,Hutt City,street_address,RANGE_INTERPOLATED
168.3618621,-46.4249435,Lion Foundation,18,Strathern Inn,200 Elles Road Invercargill,200 Elles Road,Invercargill,NZ,Invercargill City,street_address,ROOFTOP
